id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
43718930,Cottage in Peterborough  4.91  1 bedroom  1 bed  1.5,Moyne,-38.59965,142.86269,Entire home/apt,193.0,2,54,1.26,11,33,6
43744257,Home in Apollo Bay  4.98  3  6  2,Colac Otway,-38.74591,143.67212,Entire home/apt,450.0,2,53,1.28,1,235,8
43744766,Home in Saint Leonards  4.29  3  4  1 bath,Greater Geelong,-38.17163,144.70823,Entire home/apt,320.0,2,7,0.19,17,359,2
43748677,Home in Barwon Heads  4.96  3  4  2.5,Greater Geelong,-38.28455,144.49188,Entire home/apt,805.0,2,106,2.5,67,142,26
43770756,Cottage in Lorne  4.83  2  5  1 bath,Surf Coast,-38.51298,143.97132,Entire home/apt,623.0,1,23,0.54,12,349,6
43780182,Boutique hotel in Apollo Bay  4.96  Studio  1 bed  1 private bath,Colac Otway,-38.75387,143.66786,Private room,422.0,1,170,4.01,5,253,18
43792673,Home in Ocean Grove  4.67  3  4  2,Greater Geelong,-38.27132,144.51487,Entire home/apt,621.0,2,6,0.14,123,327,0
43796764,Home in Ocean Grove  4.97  4  7  2.5,Greater Geelong,-38.26522,144.51592,Entire home/apt,700.0,2,31,0.73,1,335,4
43805758,Tent in Lorne  1 bedroom  3  1 bath,Surf Coast,-38.51429,143.97332,Entire home/apt,418.0,1,2,0.06,12,355,0
43806020,Guesthouse in Lorne  4.89  1 bedroom  3  1 bath,Surf Coast,-38.51458,143.97202,Entire home/apt,427.0,1,47,1.19,12,355,31
43808288,Rental unit in Apollo Bay  4.84  3  4  2,Colac Otway,-38.75983,143.67232,Entire home/apt,695.0,2,120,2.82,36,0,37
43810790,Rental unit in Warrnambool  4.65  1 bedroom  1 bed  1 bath,Warrnambool,-38.38522,142.48262,Entire home/apt,164.0,1,106,2.49,5,75,30
43820686,Rental unit in Geelong  4.92  1 bedroom  1 bed  1 bath,Greater Geelong,-38.15138,144.35823,Entire home/apt,210.0,1,48,1.4,2,330,12
43821355,Home in Dunkeld  4.87  3  4  1 bath,Southern Grampians,-37.6494,142.35361,Entire home/apt,205.0,2,167,3.94,3,0,43
43836425,Cottage in Lorne  5.0  Studio  2  1 bath,Surf Coast,-38.51361,143.97328,Entire home/apt,594.0,1,4,0.17,12,337,0
43836725,Cottage in Lorne  4.75  2  1 bath,Surf Coast,-38.51333,143.97211,Entire home/apt,573.0,1,12,0.43,12,352,8
43836761,Cottage in Lorne  Studio  1 bath,Surf Coast,-38.51282,143.97192,Entire home/apt,623.0,1,1,0.08,12,349,0
43836807,Home in Port Fairy  4.83  3  4  2,Moyne,-38.38539,142.2376,Entire home/apt,295.0,2,12,0.28,112,120,2
43836957,Rental unit in Port Fairy  4.75  3  4  1 bath,Moyne,-38.377403259277344,142.2425994873047,Entire home/apt,224.0,2,16,0.37,112,135,1
43837682,Bungalow in Lorne  4.63  2  3  1 bath,Surf Coast,-38.54111,143.9715,Entire home/apt,500.0,2,35,0.83,1,70,8
43838504,Home in Ocean Grove  4.93  3  5  1 bath,Greater Geelong,-38.26605,144.55205,Entire home/apt,323.0,3,120,2.82,1,102,30
43847697,Home in Port Fairy  3  4  1 bath,Moyne,-38.38652,142.24288,Entire home/apt,344.0,1,2,0.07,97,144,1
43885424,Boutique hotel in Apollo Bay  5.0  Studio  1 bed  1 private bath,Colac Otway,-38.7542,143.66838,Private room,422.0,1,20,0.48,5,226,2
43915480,Townhouse in Queenscliff  4.54  2  3  1 bath,Queenscliffe,-38.2655124,144.6627043,Entire home/apt,236.0,2,24,0.61,96,156,5
43915618,Home in Portarlington  4.79  4  6  2,Greater Geelong,-38.117416,144.680084,Entire home/apt,448.0,2,14,0.33,64,347,1
