id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
18557666,Rental unit in Apollo Bay · ★4.82 · 2 bedrooms · 3 beds · 1 bath,128831152,Stacey,,Colac Otway,-38.75507,143.66461,Entire home/apt,222,1,291,2023-12-19,3.62,1,288,77,
18587510,Bungalow in Allestree · ★4.69 · 2 bedrooms · 3 beds · 1 bath,129068180,Jenny,,Glenelg,-38.28502,141.64778,Entire home/apt,146,1,88,2023-11-05,1.11,4,291,3,
18588718,Home in Port Fairy · ★4.92 · 3 bedrooms · 5 beds · 1.5 baths,129077897,Emily,,Moyne,-38.38338,142.23101,Entire home/apt,533,2,38,2023-12-21,0.48,1,337,1,
18590644,Home in Apollo Bay · ★4.72 · 3 bedrooms · 4 beds · 1 bath,65390440,Nicole,,Colac Otway,-38.75389,143.66019,Entire home/apt,765,1,186,2023-12-11,2.31,1,233,14,
18605898,Home in Ocean Grove · ★5.0 · 3 bedrooms · 4 beds · 2 baths,300166514,Stay Everyday,,Greater Geelong,-38.25414,144.50852,Entire home/apt,757,2,9,2023-12-14,0.12,5,10,6,
18615229,Guesthouse in Bookaar · ★4.99 · 2 bedrooms · 3 beds · 1 bath,110411010,Willy,,Corangamite,-38.08574,143.08577,Entire home/apt,130,1,84,2023-12-07,1.10,1,167,16,
18617666,Rental unit in Torquay · ★4.28 · 2 bedrooms · 3 beds · 1.5 baths,51748440,Reservations Team,,Surf Coast,-38.33185,144.32143,Entire home/apt,540,2,18,2022-03-05,0.25,136,326,0,
18639351,Home in Marengo · ★4.79 · 3 bedrooms · 5 beds · 2 baths,129562,Cindy,,Colac Otway,-38.77811,143.65888,Entire home/apt,630,2,56,2023-11-25,0.74,47,335,10,
18676076,Townhouse in Torquay · ★4.81 · 3 bedrooms · 4 beds · 2 baths,129814737,Abigail,,Surf Coast,-38.33495,144.32474,Entire home/apt,350,2,75,2023-12-22,0.98,1,316,11,
18690113,Guest suite in Marengo · ★4.63 · 2 bedrooms · 2 beds · 1 bath,127296321,Alan 老王,,Colac Otway,-38.77682,143.6607,Entire home/apt,408,1,364,2023-12-11,4.51,3,324,63,
18697372,Cottage in Thomson · ★4.64 · 2 bedrooms · 3 beds · 1 bath,129984322,Sherry,,Greater Geelong,-38.16912,144.38192,Entire home/apt,286,14,11,2023-10-07,0.26,2,353,1,
18710771,Home in Casterton · ★4.78 · 2 bedrooms · 2 beds · 2 baths,130091655,Lucy,,Glenelg,-37.58476,141.40398,Entire home/apt,163,2,76,2022-03-14,0.95,1,110,0,
18722091,Home in Ocean Grove · ★4.81 · 3 bedrooms · 3 beds · 2 baths,116344466,Liz,,Greater Geelong,-38.26514,144.55156,Entire home/apt,,2,16,2022-09-24,0.22,1,0,0,
18735360,Cottage in Thomson · ★4.67 · 2 bedrooms · 3 beds · 1 bath,129984322,Sherry,,Greater Geelong,-38.16825,144.38042,Entire home/apt,150,14,18,2022-02-20,0.25,2,2,0,
18736679,Home in Point Lonsdale · ★4.89 · 3 bedrooms · 4 beds · 2 baths,129945846,Queenscliff And Coastal,,Queenscliffe,-38.28527,144.61189,Entire home/apt,544,1,9,2022-11-26,0.12,58,25,0,
18757376,Home in Portland · ★4.81 · 3 bedrooms · 5 beds · 1 bath,76826768,Kim,,Glenelg,-38.33781,141.60601,Entire home/apt,,2,27,2020-03-09,0.37,1,0,0,
18764700,Home in Rippleside · ★4.81 · 2 bedrooms · 4 beds · 1 bath,12345281,Luke,,Greater Geelong,-38.126,144.35725,Entire home/apt,617,2,57,2023-12-02,0.71,1,258,19,
18775213,Home in Lorne · ★4.78 · 5 bedrooms · 7 beds · 2.5 baths,11024497,Elizabeth,,Surf Coast,-38.52435,143.98361,Entire home/apt,507,2,69,2023-05-21,0.90,1,156,4,
18776418,Cottage in Queenscliff · ★4.95 · 3 bedrooms · 6 beds · 1.5 baths,32966021,Carmen & Frank,,Queenscliffe,-38.26848,144.6547,Entire home/apt,334,2,87,2023-12-14,1.10,1,118,8,
18811300,Home in Ocean Grove · ★4.97 · 3 bedrooms · 4 beds · 2 baths,75454471,Ange,,Greater Geelong,-38.26103,144.51903,Entire home/apt,621,2,30,2023-09-30,0.41,1,334,1,
18812767,Home in Torquay · ★4.94 · 5 bedrooms · 14 beds · 2.5 baths,35057489,Maureen,,Surf Coast,-38.30318,144.3233,Entire home/apt,544,2,105,2023-12-21,1.38,2,324,22,
18827592,Home in Point Lonsdale · ★4.88 · 4 bedrooms · 5 beds · 2 baths,98096620,Kerleys Coastal Holidays,,Queenscliffe,-38.279678,144.609894,Entire home/apt,601,2,26,2023-11-19,0.35,96,120,8,
18843356,Home in Torquay · ★4.97 · 3 bedrooms · 4 beds · 2 baths,131244579,Sally,,Surf Coast,-38.32082,144.32311,Entire home/apt,200,2,140,2023-12-13,1.76,1,271,21,
18856611,Rental unit in Geelong · ★4.83 · 1 bedroom · 1 bed · 1 bath,55338441,Jenny,,Greater Geelong,-38.15192,144.36815,Entire home/apt,261,2,191,2022-07-17,2.40,4,31,0,
